 Weight Class, Name,Sex, Record,Fighting Style,Country,Nickname,Title Holder
"Heavyweight
"," Mark Coleman
",Male, 16-10,Wrestling,USA,The Hammer,Former
"Heavyweight
"," Maurice Smith
",Male, 14-14,Kickboxing,USA,Mo,Former
"Heavyweight
"," Randy Couture
",Male, 19-11,Wrestling,USA,The Natural,Former
"Heavyweight
"," Bas Rutten
",Male, 28-4 ,"Kickboxing, Wrestling",Netherlands,El Guapo (The Handsome One),Former
"Heavyweight
"," Kevin Randleman
",Male,17-16,"Wrestling, Boxing",USA,The Monster,Former
"Heavyweight
"," Randy Couture 
",Male, 19-11,Wrestling,USA,The Natural,Former
"Heavyweight
"," Josh Barnett
",Male,35-8,Wrestling,USA,The Babyfaced Assassin,Former
"Heavyweight
"," Ricco Rodriguez
",Male, 54-27,Jiu-Jitsu,USA,Suave,Former
"Heavyweight
"," Tim Sylvia
",Male, 31-10,Jiu-Jitsu,USA,The Maine-iac,Former
"Heavyweight
"," Frank Mir
",Male,19-13,Jiu-Jitsu,USA,Unknown,Former
"Heavyweight
"," Andrei Arlovski
",Male, 30-19,"Sambo, Boxing",Belarus,The Pitbull,Former
"Heavyweight
"," Andrei Arlovski
",Male, 30-19,"Sambo, Boxing",Belarus,The Pitbull,Former
"Heavyweight
"," Tim Sylvia
",Male, 31-10,Jiu-Jitsu,USA,The Maine-iac,Former
"Heavyweight
"," Randy Couture
",Male, 19-11,Wrestling,USA,The Natural,Former
"Heavyweight
"," Antonio Rodrigo Nogueira
",Male, 34-10,"Jiu-Jitsu, Wrestling, Boxing, Judo",Brazil,Minotauro Big Nog,Former
"Heavyweight
"," Brock Lesnar
",Male, 5-3,Wrestling,USA,Unknown,Former
"Heavyweight
"," Frank Mir
",Male,19-13,Jiu-Jitsu,USA,Unknown,Former
"Heavyweight
"," Shane Carwin
",Male, 12-2,"Boxing, Wrestling, Gaidojutsu",USA,Unknown,Former
"Heavyweight
"," Cain Velasquez
",Male, 14-3,"Muay Thai, Wrestling, Jiu-Jitsu",USA,Unknown,Former
"Heavyweight
"," Junior dos Santos
",Male, 21-9,"Boxing, Jiu-Jitsu",Brazil,Cigano,Former
"Heavyweight
"," Cain Velasquez
",Male, 14-3,"Muay Thai, Wrestling, Jiu-Jitsu",USA,Unknown,Former
